author,timestamp,tweet_text
Michael Saylor@saylor·19h,2025-01-03T21:43:11.000Z,MicroStrategy targets up to $2 billion capital raise through public offerings of perpetual preferred stock in the first quarter of 2025. $MSTR
Michael Saylor@saylor·3 janv.,2025-01-03T16:44:14.000Z,"On this day 16 years ago, Satoshi Nakamoto launched Bitcoin, catalyzing the era of crypto-enlightenment."
Michael Saylor@saylor·3 janv.,2025-01-03T03:37:54.000Z,Bitcoin is on the menu at Mar-a-Lago.
