author,timestamp,tweet_text
Mindset of Stoics@mindsetofstoics·18h,2025-01-03T23:00:42.000Z,Cultivate resilience in the face of adversity. It is the hallmark of true character.
Dylan LeClair @DylanLeClair_·18h,2025-01-03T22:39:30.000Z,"Perpetual preferred stock. 

1 million year $MSTR call options hitting the fixed income market."
Jim Nichols@racerjim944·18h,2025-01-03T22:32:09.000Z,Must watch episode!
Preston Pysh@PrestonPysh·19h,2025-01-03T22:22:00.000Z,"Curious what preferred stock is?

Well….i made a video about this  12 years ago 

Don’t laugh too hard when you watch it.  Here’s the link.

https://youtu.be/MEMMVBJuJ7s?t=497&si=KdYTdjHwXDE5ZwWI…"
Andy Edstrom@edstromandrew·19h,2025-01-03T21:30:14.000Z,This is a great interview:
Preston Pysh@PrestonPysh·20h,2025-01-03T20:58:37.000Z,"This was a really informative macro conversation with the talented @LukeGromen.  

If you haven't given it a listen, be sure to check it out."
Wicked@w_s_bitcoin·22h,2025-01-03T18:40:08.000Z,History of Bitcoin: 16 Year Anniversary
TFTC@TFTC21·22h,2025-01-03T19:21:22.000Z,"Unredacted FDIC documents reveal coordinated efforts to restrict #Bitcoin activities under Operation Chokepoint 2.0, exposing systemic discrimination against the industry."
