iter	MultiClass
116	0.3568830789
117	0.3566653883
118	0.356066877
119	0.3558088327
120	0.3553081693
121	0.3548168817
122	0.3544441739
123	0.3541746963
124	0.3534955655
125	0.3532413371
126	0.3530355609
127	0.3529427139
128	0.3525996187
129	0.352470799
130	0.3520942587
131	0.3518005942
132	0.3514173662
133	0.3508066993
134	0.3507524189
135	0.3505257249
136	0.3502136242
137	0.349760802
138	0.3490233854
139	0.3486191028
140	0.3483439298
141	0.3480326786
142	0.347690335
143	0.347427225
144	0.3470624803
145	0.3468903173
146	0.3465538552
147	0.346383982
148	0.3462757791
149	0.3460715678
150	0.3456931858
151	0.3454147807
152	0.3451114474
153	0.3447763684
154	0.3445793485
155	0.3444121577
156	0.3439792635
157	0.3437094812
158	0.3434657745
159	0.3432513482
160	0.3430718601
161	0.3429299404
162	0.3427807565
163	0.3423992795
164	0.3422579936
165	0.3420962485
166	0.3417749753
167	0.3415310784
168	0.3413586121
169	0.3411540327
170	0.3407021896
171	0.3404644531
172	0.3402156581
173	0.3398938005
174	0.3397500543
175	0.3393728202
176	0.3390975118
177	0.3390293184
178	0.3389039434
179	0.3386606186
180	0.3383672052
181	0.3382262146
182	0.3379090392
183	0.3378192526
184	0.3377682826
185	0.3376174814
186	0.3374305796
187	0.337232362
188	0.3368772388
189	0.3366723085
190	0.3366203986
191	0.3364589937
192	0.3363055087
193	0.3361635335
194	0.3359859879
195	0.3358062978
196	0.3354751329
197	0.3353897275
198	0.335294923
199	0.3351766534
200	0.3350562048
201	0.3348941183
202	0.3348567525
203	0.3347240807
204	0.3344609599
205	0.3343852852
206	0.334204772
207	0.3340013237
208	0.3338789527
209	0.3337668044
210	0.3336842874
211	0.3334944808
212	0.3334527659
213	0.3330338687
214	0.3329112605
215	0.332488575
216	0.3323712946
217	0.3320575795
218	0.3319541839
219	0.3316902956
220	0.3313670187
221	0.3312171831
222	0.3311170532
223	0.3309057054
224	0.3308579207
225	0.3306917282
226	0.3305812938
227	0.330498995
228	0.3304114466
229	0.3302983634
230	0.3302606101
231	0.3301269639
232	0.3300479696
233	0.3298989636
234	0.3297842187
235	0.3297420735
236	0.3296602577
237	0.3295535499
238	0.3294489215
239	0.3293428307
240	0.3292211714
241	0.3291378084
242	0.3290692104
243	0.3290453716
244	0.3288966994
245	0.3287915783
246	0.3286515461
247	0.3286236132
248	0.3283639764
249	0.3282523678
250	0.328018078
251	0.3279516682
252	0.3278811415
253	0.3278262098
254	0.3277391227
255	0.3275781486
256	0.3274790991
257	0.3273862299
258	0.3272711842
259	0.3271215968
260	0.3270608288
261	0.3270066104
262	0.3268943539
263	0.3268080859
264	0.3267818974
265	0.326684823
266	0.326651137
267	0.3265994968
268	0.3264778384
269	0.3263868219
270	0.3262300277
271	0.3261949632
272	0.3261187936
273	0.3260544275
274	0.3258158943
275	0.3256326889
276	0.3255385714
277	0.325385472
278	0.3252935008
279	0.3252477802
280	0.3252151588
281	0.3251674925
282	0.3250666887
283	0.3250125719
284	0.3249545708
285	0.3247690796
286	0.3246796906
287	0.324599088
288	0.3244325415
289	0.3244053982
290	0.3241929645
291	0.3240709809
292	0.3239550171
293	0.3238708047
294	0.3238080749
295	0.3236972852
296	0.3235568352
297	0.3234662249
298	0.3234197373
299	0.3233620331
300	0.3232912076
301	0.3232711848
302	0.3232413484
303	0.3231610651
304	0.3230772392
305	0.3229721298
306	0.322862055
307	0.3227501657
308	0.322620246
309	0.3225847386
310	0.3224714016
311	0.3224017809
312	0.3223559151
313	0.322249514
314	0.3222178941
315	0.3221674753
316	0.3221397631
317	0.3220081233
318	0.3218704969
319	0.3214681255
320	0.3213382958
321	0.3213095103
322	0.321251305
323	0.3211736096
324	0.3210824451
325	0.3209792439
326	0.3208429973
327	0.3206945204
328	0.3206279638
329	0.3205279434
330	0.3204570892
331	0.3203759474
332	0.320264386
333	0.3202083443
334	0.3201077041
335	0.3200691834
336	0.3200103117
337	0.3199001556
338	0.3198042718
339	0.319773058
340	0.3197476152
341	0.3196786714
342	0.3196434453
343	0.3196014903
344	0.3195638687
345	0.3195376952
346	0.3194515783
347	0.3193027963
348	0.319212232
349	0.3191321959
350	0.319033507
351	0.319002752
352	0.3189106051
353	0.3188400817
354	0.318790338
355	0.3187194748
356	0.3186910529
357	0.3186402975
358	0.3185695917
359	0.3185380166
360	0.3184993455
361	0.3184541359
362	0.3183936228
363	0.3183124998
364	0.3182031924
365	0.3181857501
366	0.3181510816
367	0.3180751235
368	0.3179870547
369	0.3179344895
370	0.3179061198
371	0.3178822257
372	0.317841405
373	0.317815777
374	0.3177426386
375	0.3177106902
376	0.3176134678
377	0.3175078564
378	0.3174431072
379	0.3174043382
380	0.3173361799
381	0.3172676888
382	0.3172217341
383	0.3171422264
384	0.3170969412
385	0.317085339
386	0.3170042938
387	0.3169647853
388	0.3168899517
389	0.3168268357
390	0.3167610428
391	0.3166977476
392	0.3166587733
393	0.3166137892
394	0.3164786331
395	0.3163939665
396	0.316362999
397	0.3163124193
398	0.31627025
399	0.3162217008
400	0.3161921301
401	0.3161749428
402	0.3161535291
403	0.3161042969
404	0.316047184
405	0.3159920175
406	0.315928069
407	0.3158804944
408	0.3158020935
409	0.3157594562
410	0.3157041472
411	0.3156395407
412	0.3155544418
413	0.315454696
414	0.3154071457
415	0.3153561312
416	0.315332793
417	0.3152578124
418	0.3152206219
419	0.3150539058
420	0.3149770846
421	0.3148958539
422	0.3148862738
423	0.3148679524
424	0.3148478406
425	0.3148037648
426	0.3147735509
427	0.3147405069
428	0.3146717501
429	0.3146336139
430	0.314533494
431	0.3144096326
432	0.314364402
433	0.3143408173
434	0.3143104045
435	0.3142139509
436	0.3141714891
437	0.3141227345
438	0.3141012406
439	0.313957985
440	0.3139416283
441	0.3138844092
442	0.3138319207
443	0.3137770969
444	0.3137392685
445	0.313718636
446	0.3136645885
447	0.3136502122
448	0.3133686078
449	0.3133232524
450	0.3132832145
451	0.3132461688
452	0.3131704925
453	0.3131268211
454	0.313061911
455	0.3130507147
456	0.3130090468
457	0.3127978126
458	0.3127521384
459	0.3127154464
460	0.3126850002
461	0.3126426279
462	0.3125959466
463	0.3125799929
464	0.3125575669
465	0.3125198843
466	0.312501473
467	0.3124544036
468	0.3124237767
469	0.3123968949
470	0.3123242649
471	0.3122925422
472	0.3122623422
473	0.3122288827
474	0.3121474164
475	0.3120714558
476	0.3120541825
477	0.3120366542
478	0.3120230303
479	0.3119966729
480	0.3119421598
481	0.3119165805
482	0.3118475719
483	0.3118243012
484	0.3117907297
485	0.3117308147
486	0.3117026127
487	0.3116661435
488	0.3116372615
489	0.3115994975
490	0.311578554
491	0.3115409522
492	0.3114686698
493	0.3114470218
494	0.3114196323
495	0.311393703
496	0.3112965776
497	0.3112732027
498	0.311232913
499	0.3112183566
