iter	MultiClass
0	0.9944780951
1	0.9210537681
2	0.8533457341
3	0.7980300062
4	0.7500445961
5	0.7135327445
6	0.6816635351
7	0.6513989791
8	0.6252298667
9	0.6036393716
10	0.5848295583
11	0.5665676606
12	0.5526187593
13	0.538273795
14	0.525716411
15	0.5155803971
16	0.5056286812
17	0.4965873709
18	0.48777902
19	0.4807355931
20	0.4736263757
21	0.4676421783
22	0.461740973
23	0.4581336437
24	0.4544385016
25	0.449757392
26	0.4449717375
27	0.4419900536
28	0.4396005434
29	0.4377717323
30	0.43593509
31	0.43370829
32	0.4320589492
33	0.4297153656
34	0.4282735694
35	0.4258475694
36	0.4225653471
37	0.4190697131
38	0.41825927
39	0.4157941279
40	0.4146237644
41	0.4137573823
42	0.4120952782
43	0.4112827985
44	0.4102062611
45	0.408426548
46	0.406474148
47	0.4048915939
48	0.4039047988
49	0.4032345723
50	0.4026551429
51	0.4012850293
52	0.4006546663
53	0.4000120886
54	0.399156264
55	0.397380162
56	0.3967053962
57	0.3956760672
58	0.3947238791
59	0.3937358464
60	0.3928979243
61	0.392321674
62	0.3909598976
63	0.3900921083
64	0.3898721066
65	0.3888840856
66	0.3884806344
67	0.3877736658
68	0.3866279752
69	0.3858303425
70	0.3850038275
71	0.3842275075
72	0.3838294925
73	0.3830199603
74	0.3822964875
75	0.3816312742
76	0.3807497818
77	0.380272393
78	0.3792131752
79	0.3783768636
80	0.3776938564
81	0.3771885094
82	0.3765729774
83	0.3753102904
84	0.374389338
85	0.3739660083
86	0.3733186621
87	0.3724576831
88	0.3714731506
89	0.3707231315
90	0.3701382027
91	0.369630343
92	0.3689344072
93	0.3684101041
94	0.3677942929
95	0.3672314011
96	0.366794983
97	0.3660264753
98	0.3653963606
99	0.364572849
100	0.3642681921
101	0.3634098726
102	0.3629920441
103	0.3625556859
104	0.3620243006
105	0.3611800184
106	0.3607909145
107	0.3601292847
108	0.3597356712
109	0.3596105924
110	0.3593048952
111	0.3589888635
112	0.3583343999
113	0.3575427493
114	0.3572188386
115	0.3569817889
