date,Open,High,Low,target_price,volume,market_cap,increase_volume,increase_market_cap,increase_price,MA7_volume,MA7_market_cap,MA7_price,MA30_volume,MA30_market_cap,MA30_price,volume_lag_7,market_cap_lag_7,price_lag_7,volume_lag_30,market_cap_lag_30,price_lag_30,label,DFF,NFINCP,FINCP,DPRIME,DPCREDIT,DTWEXBGS,CPIAUCSL,DGS3MO,DGS1,DGS30,negative,neutral,positive,increase_negative,increase_neutral,increase_positive,MA7_negative,MA7_neutral,MA7_positive,MA30_negative,MA30_neutral,MA30_positive
2024-04-02,69660.01,69660.01,64706.05,65448.35,76064873523.09375,1305031837940.3057,0.5794143289258231,-0.0480763038490031,-0.0614202296072091,54655852362.35407,1367332194759.598,69450.64,77713444137.23828,1338702466276.9546,68221.194,73539340915.59027,1383033138560.8923,70059.97,39229163265.52778,1221662652840.6943,63099.99,-1.0,5.33,305.972589844,678.08721875,8.5,5.5,121.6881,313.207,5.42,5.05,4.51,0.1501501771466185,0.5613367408514023,0.288513078354299,1.7576119118909788,0.1051661510785409,-0.3407374147753353,0.0983192876094974,0.4483858663455716,0.4532948452646711,0.1336859396299428,0.4917189617472745,0.3745950971678682
2024-04-03,65441.29,66778.9,64792.98,66074.16,72688212424.20833,1298722536237.2778,-0.0443918584556674,-0.0048345959995777,0.0095618911706713,55604410223.80298,1356843259474.1797,68956.97,77736489796.48329,1339226513615.7524,68150.05399999999,66048307394.06597,1372145083235.2048,69529.85,71996842646.85764,1283001116073.3542,68208.36,-1.0,5.33,305.972589844,678.08721875,8.5,5.5,121.4129,313.207,5.42,5.03,4.51,0.2323959061759523,0.4759670947678387,0.2916369968734216,0.547756456850681,-0.1520827693446182,0.0108276496058398,0.1093505190907134,0.4617377675360157,0.4289117100207867,0.1353974617103351,0.4923460848802434,0.3722564522100386
2024-04-04,65963.32,69060.0,65139.94,68461.23,54141942846.19231,1316195162429.9092,-0.2551482415027626,0.0134537021612436,0.0361271335117993,53690141188.15548,1347043657307.172,68636.75428571428,75573208699.71243,1339760889092.2698,68299.726,67541826095.72474,1384792377598.965,70702.74,119040375749.31818,1300163898134.3777,63971.07,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.1646,313.207,5.41,5.0,4.47,0.0446092746505099,0.4643955861942636,0.490995145506329,-0.8080462113788907,-0.024311572587217,0.6835831899593805,0.1154253403752273,0.4932760471448539,0.3912986128564207,0.1173213745462806,0.4945769179716371,0.3881017060365026
2024-04-05,68487.85,68613.19,66099.34,67928.77,65461159217.25347,1327799451346.375,0.2090655742298915,0.0088165412301337,-0.0077775406606044,55693530267.60981,1339983834175.566,68362.21857142857,72799482801.02829,1340873691598.9456,68359.44733333333,51437435661.07317,1377218213267.6167,69850.52,148672936177.77777,1294415376146.1042,66137.13,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.3671,313.207,5.43,5.05,4.54,0.0031982580549083,0.0796724144602194,0.9171293377876282,-0.928305087227601,-0.828438476099359,0.8678989928543117,0.1150524036589241,0.4377543830183438,0.4471932176074626,0.1060186118018756,0.4910068303334192,0.4029745567004626
2024-04-06,67820.6,69566.35,67492.52,68904.86,48123401317.81944,1338695853172.181,-0.2648556503848827,0.0082063611449432,0.0143693165649841,56902523991.539375,1334660214992.9126,68252.23,71634685728.25433,1341764930151.622,68426.14866666668,39660445250.3125,1375961187450.7534,69674.78,83067313501.0382,1311958696591.8855,66903.82,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.2943,313.207,5.43,5.056666666666667,4.543333333333333,0.0686878779437392,0.5739962756633759,0.3573158383369446,20.476652841794746,6.2044543842709,-0.6103975485083816,0.1204668326465974,0.4098777325827599,0.4696554398004313,0.1051104174701129,0.48423980971053,0.410649770626003
2024-04-07,68884.31,70242.04,68850.36,69388.74,38671272310.63541,1365387978509.7014,-0.1964144002365859,0.0199389019352459,0.0070224364435252,57615862652.40395,1331824923523.0815,67991.05285714286,70554402288.65167,1342964958756.9905,68465.67766666667,33677901684.58333,1385235018798.5208,71216.98,71079775498.71527,1329387120348.6528,68202.87,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.2215,313.207,5.43,5.0633333333333335,4.546666666666667,0.0036573102309678,0.4818184152245521,0.5145242723325888,-0.9467546481205392,-0.1605896490047647,0.4399705166368767,0.0795925935089129,0.449301029320821,0.4711063798357148,0.1049735180872539,0.476016094534345,0.4190103869506795
2024-04-08,69360.36,72724.2,69169.74,71631.77,53132608634.298615,1398781579162.8125,0.3739555349381675,0.0244572247439586,0.0323255617554087,58326210039.07161,1335802056971.2231,68262.55428571429,69826856971.00896,1344883370889.9463,68569.617,48160176927.625,1370941645025.819,69731.26,74958968163.57986,1341229215174.1318,68513.59,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.1487,313.207,5.43,5.07,4.55,0.013610731519293,0.6447105575352907,0.341678699478507,2.7215140799502797,0.3380778674364749,-0.3359327871365305,0.0737585051031413,0.4688424406709918,0.4573990526671026,0.1052992829406835,0.4910711013389106,0.4036296136919735
2024-04-09,71631.94,71714.42,68442.77,69198.22,132212729053.50348,1380512011414.8958,1.4883538085528214,-0.0130610582953568,-0.0339730541350577,66347332257.701584,1346584938896.1646,68798.25,72706994049.58119,1345530420883.7576,68577.89966666666,76064873523.09375,1305031837940.3057,65448.35,45808616696.33681,1361100511600.5625,68949.74,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.1215,313.207,5.43,5.03,4.5,0.0133963987852135,0.4930372077764736,0.4935663864016533,-0.0157473339162996,-0.2352580518281875,0.4445336719993593,0.054222251051512,0.4590853645174305,0.4866923823881532,0.1038715151543439,0.4875292108002335,0.4085992709355134
2024-04-10,69156.0,71078.17,67590.15,70513.6,158873955437.3136,1361467139057.446,0.2016540054401337,-0.0137955136934523,0.0190088704593847,78659581259.57376,1355548453584.76,69432.45571428571,75366852098.59985,1344438442711.7273,68525.205,72688212424.20833,1298722536237.2778,66074.16,79078213966.75348,1394226484218.3542,72094.44,-1.0,5.33,308.689269531,667.8948125,8.5,5.5,121.9628,313.207,5.45,5.19,4.64,0.4250680802700419,0.3374957926571369,0.2374361477947482,30.73002588868996,-0.3154760181707299,-0.5189377673674721,0.0817468473506677,0.4393037499301874,0.4789494039483427,0.1168549768763585,0.4814583723396234,0.4016866487467928
2024-04-11,70631.08,71247.81,69587.99,70112.05,163547750232.02777,1386276753963.962,0.0294182566415569,0.0182227056348137,-0.0056946461391845,94288982314.69312,1365560109518.196,69668.28714285714,77844185587.84222,1343711626888.6584,68479.81133333333,54141942846.19231,1316195162429.9092,68461.23,89227745554.75694,1408081228656.0278,71473.86,-1.0,5.33,308.166886719,652.37784375,8.5,5.5,122.003,313.207,5.45,5.17,4.65,0.1685343605931847,0.5725801944732666,0.2588854328729212,-0.6035120762628979,0.696555059146923,0.0903370665224688,0.0994504310567641,0.454758693970045,0.4457908735721416,0.122300158465751,0.4851534139555534,0.3925464255410824
2024-04-12,70006.21,71173.45,66012.76,67208.21,156492733608.7986,1367900621427.1562,-0.0431373504876716,-0.0132557460004002,-0.0414171315772395,107293492942.05669,1371288848101.1648,69565.35,79998908624.38873,1341694663364.0806,68283.81999999999,65461159217.25347,1327799451346.375,67928.77,91851042512.40276,1428409527164.4966,73087.95,-1.0,5.33,308.166886719,652.37784375,8.5,5.5,122.6566,313.207,5.45,5.13,4.61,0.1613216443452984,0.6242374380429586,0.2144409067307909,-0.0427967105491131,0.0902183555566623,-0.1716764270933185,0.1220394862411055,0.5325536973390078,0.3454068119925934,0.1276008080829288,0.4892426825422552,0.3831565074401657
2024-04-13,67129.0,67890.08,61480.0,64255.94,170831383575.80554,1309324455975.3923,0.0916250207683812,-0.0428219452014359,-0.043927222581884,124823204693.19756,1367092934215.9094,68901.21857142857,83180253114.72601,1338055159359.2,68044.60500000001,48123401317.81944,1338695853172.181,68904.86,75391048865.6875,1418509576121.7986,71432.39,1.0,5.33,308.166886719,652.37784375,8.5,5.5,122.70213333333334,313.207,5.45,5.14,4.653333333333333,0.0160228029417339,0.3903659493662417,0.5936112385243177,-0.9006779096087185,-0.3746514938449148,1.768180976167654,0.1145159040979619,0.5063207935822743,0.3791632977336467,0.1273218926710197,0.4750310490419225,0.397647055315729
2024-04-14,63919.56,65737.76,62168.38,65582.95,193384733405.9271,1263072156804.9585,0.1320211155470365,-0.0353253152489065,0.0206519428398369,146925127706.81067,1352476388258.089,68357.53428571428,85466601880.45633,1335216958310.4077,67912.964,38671272310.63541,1365387978509.7014,69388.74,124794270434.01744,1348218188268.735,69532.18,-1.0,5.33,308.166886719,652.37784375,8.5,5.5,122.74766666666666,313.207,5.45,5.15,4.696666666666667,0.0879856656926373,0.5767450431982676,0.335269272327423,4.491278024986808,0.4774471086287417,-0.4352039675648956,0.1265628120210576,0.5198817404356623,0.3535554405900517,0.1209270070390171,0.4731802271279782,0.4058927621285181
2024-04-15,65666.9,66716.61,62664.83,63496.91,167288178450.46527,1278786268963.2744,-0.1349463036499549,0.0124411832480465,-0.03180765732557,163233066251.97733,1335334201086.7266,67195.41142857143,87970848635.07149,1333136523886.1326,67853.31033333334,53132608634.298615,1398781579162.8125,71631.77,92160775812.01042,1341199301691.5278,65286.52,-1.0,5.33,308.166886719,652.37784375,8.5,5.5,122.7932,313.207,5.45,5.16,4.74,0.151498457789421,0.5001468360424042,0.3483547084033488,0.7218538564981097,-0.1328112101858693,0.0390296312724615,0.1462610586310758,0.4992297802223927,0.3545091561507433,0.115959129596379,0.4717142616185635,0.4123266052792529
2024-04-16,63408.02,64279.61,61721.75,63679.78,164862168464.25696,1239636852612.2708,-0.0145019810047526,-0.0306145110415851,0.0028799826637232,167897271882.085,1315209178400.6372,66407.06285714287,90659024203.5192,1330516107768.036,67687.63366666666,132212729053.50348,1380512011414.8958,69198.22,84216901410.82639,1318249336155.1736,68650.08,-1.0,5.33,308.166886719,652.37784375,8.5,5.5,123.4732,313.207,5.45,5.18,4.77,0.2813030335586517,0.2144161723554133,0.5042807996273041,0.8568046015996794,-0.571293554404822,0.4476072447495481,0.1845334350272813,0.4594267751622412,0.3560397866115506,0.1252766069651288,0.4762200323962261,0.3985033581246993
2024-04-17,63793.38,64409.61,60035.04,61309.97,159271475773.6007,1230701435686.1145,-0.0339113135702102,-0.0072080923597316,-0.0372144815826938,167954060501.55453,1296528363633.3042,65092.258571428574,93612896302.82104,1327141582130.7915,67474.24766666666,158873955437.3136,1361467139057.446,70513.6,70655312794.54514,1331937204803.431,67711.55,0.0,5.33,308.166886719,652.37784375,8.5,5.5,123.375,313.207,5.45,5.16,4.71,0.1299130784755106,0.5972335420859357,0.2728533673022563,-0.5381739157518763,1.785394103090178,-0.4589257264922391,0.1423684347709197,0.4965321679377839,0.3610993893983374,0.1249951465780786,0.47403677403763,0.4009680768158243
2024-04-18,61277.35,64049.91,60896.0,63418.0,162264150662.4331,1228207510554.3696,0.0187897730858373,-0.002026425792178,0.0343831517125191,167770689134.46964,1273947043146.2195,64135.96571428572,95620192782.08849,1325903589203.027,67522.14266666667,163547750232.02777,1386276753963.962,70112.05,102045256284.40971,1265347298387.309,61981.15,-1.0,5.33,312.287132813,649.57328125,8.5,5.5,123.3481,313.207,5.46,5.18,4.74,0.0799753124359994,0.6506776630878448,0.2693470560014247,-0.3843936778768947,0.089486134377595,-0.0128505333670572,0.1297171421770361,0.507688949168438,0.3625939069881236,0.1236725320379654,0.470794143178414,0.4055333222163177
2024-04-19,63459.73,65384.6,59734.42,63965.95,179591776267.1359,1254700142550.6133,0.1067865300743501,0.0215701595769315,0.0086402913999179,171070552371.37494,1257775546163.8562,63672.78571428572,97760195491.1562,1325883154281.9136,67392.54033333334,156492733608.7986,1367900621427.1562,67208.21,115391694995.10416,1255313190184.0208,67854.02,-1.0,5.33,312.287132813,649.57328125,8.5,5.5,123.4459,313.207,5.45,5.17,4.72,0.1448727118986425,0.660569503204897,0.1945577604346908,0.811467907856908,0.0152023662071165,-0.2776688807259074,0.1273672946846567,0.512879244191572,0.3597534575172522,0.1242452236469425,0.4770743057907007,0.398680466886683
