Date,target_price,lower_barrier_price,upper_barrier_price,label
2020-01-02,75.0875015258789,67.57875137329101,82.5962516784668,0
2020-01-03,74.35749816894531,66.92174835205078,81.79324798583986,0
2020-01-06,74.94999694824219,67.45499725341797,82.44499664306642,0
2020-01-07,74.59750366210938,67.13775329589843,82.05725402832032,0
2020-01-08,75.79750061035156,68.2177505493164,83.37725067138672,0
2020-01-09,77.40750122070312,69.66675109863282,85.14825134277345,0
2020-01-10,77.5824966430664,69.82424697875977,85.34074630737305,0
2020-01-13,79.23999786376953,71.31599807739258,87.16399765014648,0
2020-01-14,78.16999816894531,70.35299835205079,85.98699798583985,0
2020-01-15,77.83499908447266,70.05149917602539,85.61849899291992,0
2020-01-16,78.80999755859375,70.92899780273437,86.69099731445313,0
2020-01-17,79.68250274658203,71.71425247192383,87.65075302124023,0
2020-01-21,79.14250183105469,71.22825164794922,87.05675201416017,0
2020-01-22,79.42500305175781,71.48250274658203,87.3675033569336,0
2020-01-23,79.80750274658203,71.82675247192383,87.78825302124024,0
2020-01-24,79.57749938964844,71.6197494506836,87.53524932861329,0
2020-01-27,77.23750305175781,69.51375274658203,84.9612533569336,0
2020-01-28,79.42250061035156,71.48025054931641,87.36475067138673,0
2020-01-29,81.08499908447266,72.9764991760254,89.19349899291993,-1
2020-01-30,80.96749877929688,72.8707489013672,89.06424865722657,-1
2020-01-31,77.37750244140625,69.63975219726562,85.11525268554688,-1
2020-02-03,77.16500091552734,69.44850082397461,84.88150100708009,-1
2020-02-04,79.7125015258789,71.74125137329102,87.6837516784668,-1
2020-02-05,80.36250305175781,72.32625274658203,88.3987533569336,-1
2020-02-06,81.30249786376953,73.17224807739258,89.4327476501465,-1
2020-02-07,80.00749969482422,72.0067497253418,88.00824966430665,-1
2020-02-10,80.38749694824219,72.34874725341797,88.42624664306642,-1
2020-02-11,79.90249633789062,71.91224670410156,87.89274597167969,-1
2020-02-12,81.80000305175781,73.62000274658203,89.98000335693361,-1
2020-02-13,81.21749877929688,73.09574890136719,89.33924865722658,-1
2020-02-14,81.23750305175781,73.11375274658204,89.3612533569336,-1
2020-02-18,79.75,71.775,87.72500000000001,-1
2020-02-19,80.90499877929688,72.81449890136719,88.99549865722658,-1
2020-02-20,80.07499694824219,72.06749725341797,88.08249664306642,-1
2020-02-21,78.26249694824219,70.43624725341797,86.08874664306641,-1
2020-02-24,74.54499816894531,67.09049835205079,81.99949798583985,-1
2020-02-25,72.0199966430664,64.81799697875977,79.22199630737305,-1
2020-02-26,73.1624984741211,65.84624862670898,80.4787483215332,-1
2020-02-27,68.37999725341797,61.54199752807617,75.21799697875977,1
2020-02-28,68.33999633789062,61.50599670410156,75.17399597167969,1
2020-03-02,74.70249938964844,67.2322494506836,82.17274932861329,-1
2020-03-03,72.33000183105469,65.09700164794923,79.56300201416016,-1
2020-03-04,75.68499755859375,68.11649780273437,83.25349731445313,-1
2020-03-05,73.2300033569336,65.90700302124024,80.55300369262696,-1
2020-03-06,72.25749969482422,65.0317497253418,79.48324966430664,-1
2020-03-09,66.5425033569336,59.88825302124024,73.19675369262696,-1
2020-03-10,71.33499908447266,64.2014991760254,78.46849899291993,-1
2020-03-11,68.85749816894531,61.97174835205078,75.74324798583984,-1
2020-03-12,62.057498931884766,55.85174903869629,68.26324882507325,1
2020-03-13,69.49250030517578,62.543250274658206,76.44175033569337,-1
2020-03-16,60.5525016784668,54.49725151062012,66.60775184631348,1
2020-03-17,63.21500015258789,56.893500137329106,69.53650016784668,-1
2020-03-18,61.66749954223633,55.500749588012695,67.83424949645996,1
2020-03-19,61.19499969482422,55.0754997253418,67.31449966430665,1
2020-03-20,57.310001373291016,51.57900123596192,63.04100151062012,1
2020-03-23,56.092498779296875,50.48324890136719,61.70174865722657,1
2020-03-24,61.720001220703125,55.54800109863282,67.89200134277344,1
2020-03-25,61.380001068115234,55.24200096130371,67.51800117492677,1
2020-03-26,64.61000061035156,58.149000549316405,71.07100067138673,1
2020-03-27,61.935001373291016,55.74150123596191,68.12850151062013,1
2020-03-30,63.70249938964844,57.3322494506836,70.07274932861328,1
2020-03-31,63.5724983215332,57.21524848937988,69.92974815368653,1
2020-04-01,60.227500915527344,54.204750823974614,66.25025100708008,1
2020-04-02,61.23249816894531,55.109248352050784,67.35574798583986,1
2020-04-03,60.352500915527344,54.31725082397461,66.38775100708008,1
2020-04-06,65.61750030517578,59.0557502746582,72.17925033569337,1
2020-04-07,64.85749816894531,58.37174835205078,71.34324798583985,1
2020-04-08,66.51750183105469,59.86575164794922,73.16925201416016,1
2020-04-09,66.99749755859375,60.29774780273438,73.69724731445314,1
2020-04-13,68.3125,61.48125,75.14375000000001,1
2020-04-14,71.76249694824219,64.58624725341797,78.93874664306641,0
2020-04-15,71.10749816894531,63.99674835205078,78.21824798583985,1
2020-04-16,71.67250061035156,64.50525054931641,78.83975067138672,0
2020-04-17,70.69999694824219,63.62999725341797,77.7699966430664,1
2020-04-20,69.23249816894531,62.30924835205078,76.15574798583985,1
2020-04-21,67.09249877929688,60.38324890136719,73.80174865722657,1
2020-04-22,69.0250015258789,62.122501373291016,75.9275016784668,1
2020-04-23,68.75749969482422,61.8817497253418,75.63324966430665,1
2020-04-24,70.74250030517578,63.668250274658206,77.81675033569337,1
2020-04-27,70.7925033569336,63.713253021240234,77.87175369262695,1
2020-04-28,69.6449966430664,62.68049697875977,76.60949630737305,1
2020-04-29,71.93250274658203,64.73925247192383,79.12575302124024,1
2020-04-30,73.44999694824219,66.10499725341798,80.79499664306641,0
