date,Open,High,Low,price,volume,market_cap,increase_volume,increase_market_cap,increase_price,MA7_volume,MA7_market_cap,MA7_price,MA30_volume,MA30_market_cap,MA30_price,volume_lag_7,market_cap_lag_7,price_lag_7,volume_lag_30,market_cap_lag_30,price_lag_30,label,DFF,NFINCP,FINCP,DPRIME,DPCREDIT,DTWEXBGS,CPIAUCSL,DGS3MO,DGS1,DGS30,negative,neutral,positive,increase_negative,increase_neutral,increase_positive,MA7_negative,MA7_neutral,MA7_positive,MA30_negative,MA30_neutral,MA30_positive
2018-01-01,14046.002763769,14521.965544256,12980.811131472,13577.188554957,9527935461.62658,229222912291.63077,,,,,,,,,,,,,,,,1.0,1.33,299.88078341,543.194444644,4.5,2.0,109.6444,248.859,1.44,1.83,2.81,0.0052856537513434,0.2391778081655502,0.7555366158485413,,,,,,,,,
2018-01-02,13644.693035103,15468.208138312,13195.873515272,14938.176676247,11519263413.096798,234598412922.9719,0.2089988916791283,0.023450974327130527,0.10024079107254545,,,,,,,,,,,,,-1.0,1.42,299.88078341,543.194444644,4.5,2.0,109.6444,248.859,1.44,1.83,2.81,0.07749405724462118,0.6796900704503059,0.2428159030387178,13.661205763795122,1.841777318988763,-0.6786179545169867,,,,,,
2018-01-03,14895.27536735,15646.498637585,14470.737671493,15079.15218495,15486225672.354582,253883215212.24063,0.3443763821519661,0.08220346441815322,0.0094372634464261,,,,,,,,,,,,,-1.0,1.42,299.88078341,543.194444644,4.5,2.0,109.6751,248.859,1.41,1.81,2.78,0.6070896685123444,0.38224032893776894,0.0106700011529028,6.834015795507753,-0.4376255508859672,-0.9560572391701979,,,,,,
2018-01-04,15168.972365175,16708.709266664,14286.669853351,15163.898947535,17853763690.763954,251036679559.8749,0.15288024780859358,-0.011211988354512066,0.005620127812595679,,,,,,,,,,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.4779,248.859,1.41,1.82,2.79,0.0672167465090751,0.7464883327484131,0.1862949877977371,-0.889280365001454,0.9529292861977051,16.459697063580453,,,,,,
2018-01-05,15197.764745391,17161.635003707,14878.0481744,16989.161481747,19609983790.01868,271843354493.04132,0.09836693986059913,0.08288300725473785,0.12036894604264746,,,,,,,,,,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.3496,248.859,1.39,1.8,2.81,0.23681536512190682,0.4705660140348805,0.29261865497877193,2.523160185831574,-0.369627101468076,0.5707274706524678,,,,,,
2018-01-06,17025.656424047,17179.033573147,16336.056215275,17162.016412946,18955266190.68127,288261636551.30023,-0.03338695260271739,0.060396113375209205,0.010174423934030698,,,,,,,,,,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.42233333333333,248.859,1.41,1.7966666666666666,2.81,,,,,,,,,,,,
2018-01-07,17147.576402894,17147.576402894,15811.120768799,16515.287371965,14928537112.943417,284648058031.04846,-0.21243326457306425,-0.012535759400674473,-0.03768374446333379,15411567904.497896,259070609866.01544,15632.125947192428,,,,,,,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.49506666666667,248.859,1.43,1.7933333333333334,2.81,0.07745368126779792,0.8454381376504898,0.07710820576176042,-0.6729364193580656,0.7966408802056454,-0.7364890978418507,,,,,,
2018-01-08,16265.340844756,18578.493142396,13940.416001941,15218.632857746,15332152745.846205,263409481941.7531,0.02703651602626511,-0.07461345858533389,-0.07851237977366929,16240741802.243559,263954405530.31863,15866.617990448,,,,9527935461.62658,229222912291.63077,13577.188554957,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.5678,248.859,1.45,1.79,2.81,0.24125605480124548,0.3739334046840668,0.3848105138167739,2.1148429726289835,-0.55770459359304,3.9905261056873083,0.18751588960119062,0.5339334423816393,0.2785506974850293,,,
2018-01-09,15190.761147069,16153.556214671,14491.073050464,14710.596362322,16217162079.831575,253514317696.62625,0.05772244437266892,-0.03756571013383241,-0.03338253180642439,16911870183.20567,266656677640.84073,15834.106517030144,,,,11519263413.096798,234598412922.9719,14938.176676247,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.9022,248.859,1.44,1.78,2.88,,,,,,,,,,,,
2018-01-10,14705.367542398,15065.002517675,13822.149498706,15065.002517675,15928534701.27195,241449931229.67557,-0.01779765023860594,-0.0475885803080669,0.024091895843239598,16975057187.336721,264880494214.75998,15832.085135990857,,,,15486225672.354582,253883215212.24063,15079.15218495,,,,-1.0,1.42,307.178988829,558.187737872,4.5,2.0,109.6277,248.859,1.42,1.78,2.88,0.0305011570453643,0.9456244707107544,0.023874333128333,-0.8735735064950302,1.5288579700701108,-0.9379582098952196,0.19111810435747928,0.6348543941738114,0.17402751423928528,,,
2018-01-11,15120.84411144,15152.804514005,13113.737744593,13501.981444344,15709420580.7026,233207775642.15952,-0.01375607516188242,-0.03413608587726549,-0.10375179635696631,16668722457.327957,262333507940.80063,15594.668349820715,,,,17853763690.763954,251036679559.8749,15163.898947535,,,,-1.0,1.42,315.141551595,556.892743556,4.5,2.0,109.4887,248.859,1.43,1.77,2.91,0.209303159546107,0.7092798046767712,0.081417042738758,5.862138352155327,-0.2499350147488683,2.410233169702062,0.20994797611483443,0.6390814990633064,0.15097053419643386,,,
2018-01-12,13571.758126006,14364.992142127,13108.291157969,14089.112033817,12799444154.485205,232155990926.1445,-0.18523766750455462,-0.004510075674444502,0.04348477235679739,15695788223.680317,256663884574.10107,15180.375571545,,,,19609983790.01868,271843354493.04132,16989.161481747,,,,-1.0,1.42,315.141551595,556.892743556,4.5,2.0,108.9011,248.859,1.43,1.78,2.85,0.10484287302824664,0.7722898684442043,0.12286728038452562,-0.4990860469779435,0.08883668102766255,0.5091100861863598,0.13819843390282047,0.69480286184994,0.16699871694380855,,,
2018-01-13,14066.981282517,14807.729008217,14066.981282517,14552.77603151,11643386357.614544,241810847783.3637,-0.09032093760615009,0.041587799731994404,0.032909383968280144,14651233961.813643,250028057607.253,14807.62694562557,,,,18955266190.68127,288261636551.30023,17162.016412946,,,,-1.0,1.42,315.141551595,556.892743556,4.5,2.0,108.756325,248.859,1.435,1.7825,2.845,0.14703474003666386,0.43427475293477374,0.4186905057479937,0.4024295194299944,-0.43767907533264655,2.407664794383495,0.14960100440676172,0.6502009218765629,0.20019807665098807,,,
2018-01-14,14535.057286259,14661.400704008,13123.356032067,13815.429666612,11121051176.190731,230699974615.234,-0.04486110529882194,-0.045948613430625895,-0.05066705921272206,14107307399.4204,242321188547.85098,14421.932987717999,,,,14928537112.943417,284648058031.04846,16515.287371965,,,,-1.0,1.42,315.141551595,556.892743556,4.5,2.0,108.61155,248.859,1.44,1.7850000000000001,2.84,0.939359188079834,0.0578712299466133,0.0027696469333022,5.388688740127673,-0.8667405149492876,-0.993384977936497,0.24996440768646558,0.5912445241496675,0.15879107550163526,,,
2018-01-15,13787.98920627,14929.667351109,13663.142424701,13769.216435276,10282025656.507347,234632138926.31055,-0.0754448034084826,0.01704449390440844,-0.003345044812300408,13385860672.371994,238210139545.64487,14214.873498793715,,,,15332152745.846205,263409481941.7531,15218.632857746,,,,-1.0,1.42,315.141551595,556.892743556,4.5,2.0,108.466775,248.859,1.4449999999999998,1.7875,2.835,0.6701326668262482,0.32191620022058487,0.007951118284836349,-0.2866065767706153,4.562629315422452,1.8708057295073255,0.3346328341948156,0.5164556759453955,0.14891149157636038,,,
